"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2017","1,021.59","997.52","1,022.58","985.00","328.28M","2.41%"
"07/01/2017","997.52","988.14","1,014.75","981.31","247.24M","0.95%"
"06/01/2017","988.14","995.63","1,022.22","974.03","321.32M","-0.75%"
"05/01/2017","995.63","968.44","997.68","963.70","353.65M","2.79%"
"04/01/2017","968.57","915.51","969.53","908.26","256.10M","5.80%"
"03/01/2017","915.51","911.73","921.50","887.30","333.38M","0.44%"
"02/01/2017","911.54","902.10","925.35","886.08","367.00M","1.05%"
"01/01/2017","902.06","883.63","907.89","877.69","315.04M","2.05%"
"12/01/2016","883.96","836.09","885.93","823.42","297.78M","5.73%"
"11/01/2016","836.06","867.41","872.62","805.08","395.73M","-3.50%"
"10/01/2016","866.41","897.55","931.95","842.47","303.01M","-3.42%"
"09/01/2016","897.08","941.25","948.81","886.31","300.99M","-4.68%"
"08/01/2016","941.12","995.73","1,006.31","914.24","331.86M","-5.37%"
"07/01/2016","994.55","958.40","1,003.73","931.64","250.96M","3.86%"
"06/01/2016","957.58","1,000.95","1,006.33","876.06","348.28M","-4.23%"
"05/01/2016","999.86","957.24","1,004.31","934.26","274.30M","4.45%"
"04/01/2016","957.24","947.64","980.80","938.07","295.78M","0.95%"
"03/01/2016","948.21","947.68","998.76","926.38","286.43M","0.06%"
"02/01/2016","947.68","972.98","987.52","821.27","405.19M","-2.57%"
"01/01/2016","972.66","1,007.17","1,019.09","900.29","366.89M","-4.09%"
"12/01/2015","1,014.17","1,016.26","1,033.82","958.43","270.57M","-0.09%"
"11/01/2015","1,015.05","938.73","1,016.09","937.11","342.29M","8.22%"
"10/01/2015","937.94","937.26","970.88","906.97","402.90M","1.69%"
"09/01/2015","922.31","938.26","970.69","906.07","342.10M","-2.32%"
"08/01/2015","944.21","1,018.02","1,044.92","870.44","369.40M","-6.57%"
"07/01/2015","1,010.58","954.31","1,041.36","931.39","308.42M","6.96%"
"06/01/2015","944.82","985.43","994.52","919.20","310.81M","-3.77%"
"05/01/2015","981.80","981.64","1,000.66","934.11","281.99M","1.87%"
"04/01/2015","963.77","954.05","1,009.94","941.59","413.37M","0.99%"
"03/01/2015","954.34","884.79","966.80","866.15","388.49M","8.02%"
"02/01/2015","883.51","815.92","883.64","784.32","360.87M","8.95%"
"01/01/2015","810.94","750.64","824.93","737.20","346.97M","8.93%"
"12/01/2014","744.44","758.97","778.02","708.51","308.00M","-2.14%"
"11/01/2014","760.72","755.67","765.09","727.19","287.33M","0.83%"
"10/01/2014","754.43","761.65","769.59","664.69","413.06M","-1.08%"
"09/01/2014","762.65","739.62","775.56","734.01","339.97M","3.46%"
"08/01/2014","737.12","734.03","744.30","692.41","280.64M","-0.01%"
"07/01/2014","737.23","741.60","752.00","721.16","247.44M","-0.48%"
"06/01/2014","740.82","724.01","748.53","720.17","244.86M","2.81%"
"05/01/2014","720.60","696.41","724.44","692.17","301.08M","2.35%"
"04/01/2014","704.05","701.10","708.75","661.20","278.94M","0.23%"
"03/01/2014","702.40","708.43","723.88","674.20","360.98M","-2.38%"
"02/01/2014","719.51","652.15","729.82","636.54","381.57M","11.17%"
"01/01/2014","647.19","618.24","656.56","615.99","368.58M","5.15%"
"12/01/2013","615.50","602.16","616.37","582.90","188.39M","2.31%"
"11/01/2013","601.63","580.83","601.99","574.65","183.10M","4.03%"
"10/01/2013","578.31","565.15","596.79","558.32","0.02K","2.20%"
"09/01/2013","565.85","554.67","578.27","549.89","0.02K","2.55%"
"08/01/2013","551.76","549.96","571.45","549.14","0.02K","0.88%"
"07/01/2013","546.92","514.53","549.76","512.59","0.02K","6.81%"
"06/01/2013","512.03","534.66","538.57","492.99","0.02K","-4.36%"
"05/01/2013","535.37","541.00","559.07","532.28","0.02K","-0.73%"
"04/01/2013","539.28","536.26","547.17","522.63","0.02K","0.90%"
"03/01/2013","534.47","547.19","564.61","530.12","0.02K","-2.21%"
"02/01/2013","546.55","536.67","562.26","511.09","0.02K","2.02%"
"01/01/2013","535.73","500.69","546.31","500.69","0.02K","7.98%"
"12/01/2012","496.16","490.22","503.28","490.21","0.02K","1.07%"
"11/01/2012","490.93","485.78","496.58","471.18","0.02K","1.16%"
"10/01/2012","485.28","491.12","506.51","484.46","0.02K","-1.61%"
"09/01/2012","493.22","491.91","501.95","482.76","0.02K","0.62%"
"08/01/2012","490.16","484.33","501.67","477.76","0.02K","1.24%"
"07/01/2012","484.14","447.44","487.39","445.87","0.02K","8.54%"
"06/01/2012","446.04","435.47","446.24","415.15","0.02K","3.19%"
"05/01/2012","432.26","459.75","465.87","430.68","0.02K","-5.77%"
"04/01/2012","458.75","447.56","471.50","445.03","0.02K","3.16%"
"03/01/2012","444.71","452.46","463.36","438.70","0.02K","-2.00%"
"02/01/2012","453.77","410.71","458.62","410.54","0.02K","11.07%"
"01/01/2012","408.53","391.10","412.28","391.05","0.02K","4.76%"
"12/01/2011","389.95","384.06","390.36","370.61","0.02K","1.24%"
"11/01/2011","385.19","353.63","385.19","344.65","0.02K","6.18%"
"10/01/2011","362.77","346.36","379.20","336.76","0.02K","3.55%"
"09/01/2011","350.34","360.83","365.97","328.94","0.02K","-2.52%"
"08/01/2011","359.41","427.70","428.73","331.42","0.02K","-14.54%"
"07/01/2011","420.54","434.70","441.80","417.72","0.02K","-2.44%"
"06/01/2011","431.06","456.51","457.06","413.46","0.02K","-5.52%"
"05/01/2011","456.25","464.21","468.01","449.73","0.02K","-1.42%"
"04/01/2011","462.81","469.09","473.49","455.81","0.02K","-0.93%"
"03/01/2011","467.15","474.58","478.38","442.99","0.02K","-1.37%"
"02/01/2011","473.64","463.58","474.74","459.37","0.02K","2.50%"
"01/01/2011","462.11","460.54","476.35","457.22","0.02K","0.99%"
"12/01/2010","457.58","424.78","462.38","424.58","0.02K","7.72%"
"11/01/2010","424.77","423.57","436.06","422.55","0.02K","0.13%"
"10/01/2010","424.20","416.70","430.09","406.96","0.02K","1.74%"
"09/01/2010","416.96","398.47","422.25","395.34","0.02K","5.19%"
"08/01/2010","396.38","413.73","429.09","382.36","0.02K","-3.52%"
"07/01/2010","410.83","388.30","417.94","383.32","0.02K","4.53%"
"06/01/2010","393.02","388.55","423.95","381.05","","1.11%"
"05/01/2010","388.69","410.89","418.06","362.49","","-5.54%"
"04/01/2010","411.50","388.69","417.42","388.69","","7.43%"
"03/01/2010","383.04","358.18","390.30","357.27","","7.97%"
"02/01/2010","354.77","354.46","363.84","342.71","","-0.02%"
"01/01/2010","354.85","336.75","363.84","336.75","","5.39%"
"12/01/2009","336.69","327.30","339.72","327.30","","2.90%"
"11/01/2009","327.20","324.06","340.65","319.33","","0.94%"
"10/01/2009","324.16","335.23","345.02","320.22","","-3.24%"
"09/01/2009","335.03","335.12","341.34","319.97","","0.00%"
"08/01/2009","335.03","311.13","342.37","309.65","","7.65%"
"07/01/2009","311.23","290.80","312.04","276.18","","7.06%"
"06/01/2009","290.70","291.52","307.19","279.29","","-0.04%"
"05/01/2009","290.83","274.40","308.71","272.69","","5.84%"
"04/01/2009","274.79","228.36","278.07","227.25","","20.33%"
"03/01/2009","228.36","240.69","240.69","210.32","","-5.43%"
"02/01/2009","241.48","261.50","272.66","238.23","","-7.76%"
"01/01/2009","261.79","247.72","281.36","245.57","","5.68%"
"12/01/2008","247.72","263.05","265.97","244.01","","-5.83%"
"11/01/2008","263.05","285.19","316.25","231.31","","-7.76%"
"10/01/2008","285.19","351.15","362.30","240.16","","-18.78%"
"09/01/2008","351.15","424.11","427.79","341.52","","-17.20%"
"08/01/2008","424.11","417.43","429.33","403.57","","1.60%"
"07/01/2008","417.43","424.01","425.26","383.61","","-1.62%"
"06/01/2008","424.30","460.29","460.61","421.00","","-7.82%"
"05/01/2008","460.29","427.00","469.88","427.00","","7.80%"
"04/01/2008","427.00","428.10","439.04","414.57","","-0.26%"
"03/01/2008","428.10","431.24","432.30","398.94","","-0.73%"
"02/01/2008","431.24","407.83","444.62","403.95","","5.74%"
"01/01/2008","407.83","464.14","467.78","363.19","","-12.13%"
"12/01/2007","464.14","471.76","482.79","452.26","","-1.62%"
"11/01/2007","471.76","507.92","509.97","440.10","","-7.12%"
"10/01/2007","507.92","499.93","519.26","485.04","","1.60%"
"09/01/2007","499.93","496.30","504.70","472.47","","0.73%"
"08/01/2007","496.30","498.53","504.31","381.66","","-0.67%"
"07/01/2007","499.66","483.49","515.66","481.94","","3.30%"
"06/01/2007","483.69","500.57","502.26","467.50","","-3.37%"
"05/01/2007","500.57","484.88","502.23","480.63","","3.11%"
"04/01/2007","485.46","466.71","491.36","463.96","","4.04%"
"03/01/2007","466.59","455.68","469.47","439.53","","2.45%"
"02/01/2007","455.44","463.08","488.27","445.41","","-1.60%"
"01/01/2007","462.84","441.48","463.22","439.60","","4.84%"
"12/01/2006","441.48","424.33","442.67","421.01","","4.04%"
"11/01/2006","424.33","418.92","432.35","415.75","","1.29%"
"10/01/2006","418.92","403.49","427.00","402.68","","3.85%"
"09/01/2006","403.39","390.57","405.12","387.70","","3.28%"
"08/01/2006","390.57","369.29","392.93","369.20","","5.76%"
"07/01/2006","369.29","371.01","374.50","357.98","","-0.46%"
"06/01/2006","371.01","372.89","379.44","348.04","","-0.50%"
"05/01/2006","372.89","396.71","418.87","368.27","","-6.00%"
"04/01/2006","396.71","395.12","407.22","392.90","","0.40%"
"03/01/2006","395.12","390.64","410.07","331.04","","1.15%"
"02/01/2006","390.64","389.06","401.37","383.57","","0.41%"
"01/01/2006","389.06","393.52","403.01","378.30","","-1.13%"
"12/01/2005","393.52","368.37","395.25","368.37","","6.83%"
"11/01/2005","368.37","356.82","376.15","356.82","","3.24%"
"10/01/2005","356.82","370.60","372.53","341.21","","-3.72%"
"09/01/2005","370.60","365.65","378.50","365.65","","1.35%"
"08/01/2005","365.65","352.31","377.53","352.31","","3.79%"
"07/01/2005","352.31","343.97","353.39","337.87","","2.42%"
"06/01/2005","343.97","327.18","349.84","326.86","","5.13%"
"05/01/2005","327.18","306.25","327.98","306.25","","6.83%"
"04/01/2005","306.25","316.66","331.30","304.49","","-3.29%"
"03/01/2005","316.66","311.96","324.58","310.79","","1.51%"
"02/01/2005","311.96","291.02","313.04","290.17","","7.20%"
"01/01/2005","291.02","286.66","291.87","283.41","","1.52%"
"12/01/2004","286.66","282.88","287.48","277.30","","1.34%"
"11/01/2004","282.88","272.18","287.14","272.18","","3.93%"
"10/01/2004","272.18","281.86","286.35","271.62","","-3.43%"
"09/01/2004","281.86","267.18","283.92","267.17","","5.49%"
"08/01/2004","267.18","266.31","273.27","263.06","","0.33%"
"07/01/2004","266.31","267.43","271.63","260.90","","-0.42%"
"06/01/2004","267.43","253.14","268.35","252.47","","5.65%"
"05/01/2004","253.14","254.99","259.98","246.53","","-0.73%"
"04/01/2004","254.99","258.75","266.76","251.94","","-1.45%"
"03/01/2004","258.75","275.94","282.29","257.33","","-6.23%"
"02/01/2004","275.94","261.83","279.19","261.83","","5.39%"
"01/01/2004","261.83","244.35","269.21","244.35","","7.15%"
"12/01/2003","244.35","242.72","249.63","238.16","","0.67%"
"11/01/2003","242.72","258.01","265.06","242.35","","-5.93%"
"10/01/2003","258.01","238.19","261.63","238.19","","8.32%"
"09/01/2003","238.19","242.16","257.24","237.53","","-1.64%"
"08/01/2003","242.16","214.52","248.17","212.42","","12.88%"
"07/01/2003","214.52","214.90","218.48","211.87","","-0.18%"
"06/01/2003","214.90","207.63","219.77","207.27","","3.50%"
"05/01/2003","207.63","205.63","210.22","199.47","","0.97%"
"04/01/2003","205.63","186.65","207.77","185.86","","10.17%"
"03/01/2003","186.65","178.03","191.55","166.75","","4.84%"
"02/01/2003","178.03","186.82","188.59","172.90","","-4.71%"
"01/01/2003","186.82","199.49","209.19","183.54","","-6.35%"
"12/01/2002","199.49","208.53","210.66","195.61","","-4.34%"
"11/01/2002","208.53","200.23","210.35","198.02","","4.15%"
"10/01/2002","200.23","192.07","207.79","180.40","","4.25%"
"09/01/2002","192.07","224.34","225.45","188.86","","-14.38%"
"08/01/2002","224.34","217.65","229.96","201.92","","3.07%"
"07/01/2002","217.65","245.99","247.56","196.97","","-11.52%"
"06/01/2002","245.99","254.33","256.37","230.34","","-3.28%"
"05/01/2002","254.33","256.87","267.91","250.14","","-0.99%"
"04/01/2002","256.87","278.64","280.05","248.53","","-7.81%"
"03/01/2002","278.64","272.81","280.92","269.13","","2.14%"
"02/01/2002","272.81","263.06","275.77","257.33","","3.71%"
"01/01/2002","263.06","272.45","274.08","254.93","","-2.67%"
"12/01/2001","270.27","270.72","272.70","251.43","","-0.17%"
"11/01/2001","270.72","262.05","271.45","255.92","","3.31%"
"10/01/2001","262.05","255.45","275.08","245.15","","2.58%"
"09/01/2001","255.45","286.14","286.14","235.59","","-10.79%"
"08/01/2001","286.36","311.45","318.55","273.98","","-8.06%"
"07/01/2001","311.45","314.62","315.95","299.08","","-1.01%"
"06/01/2001","314.62","317.30","321.43","294.80","","-0.84%"
"05/01/2001","317.30","298.30","318.35","287.17","","6.37%"
"04/01/2001","298.30","294.47","312.34","273.09","","1.30%"
"03/01/2001","294.47","316.80","317.57","284.49","","-7.05%"
"02/01/2001","316.80","347.56","347.58","315.00","","-8.85%"
"01/01/2001","347.56","313.90","348.11","309.22","","10.72%"
"12/01/2000","313.90","315.27","328.60","297.26","","-0.43%"
"11/01/2000","315.27","339.98","346.58","308.05","","-7.27%"
"10/01/2000","339.98","334.88","355.68","329.16","","1.52%"
"09/01/2000","334.88","331.91","342.77","319.60","","0.89%"
"08/01/2000","331.91","305.61","332.38","302.92","","8.61%"
"07/01/2000","305.61","287.53","314.57","287.53","","6.29%"
"06/01/2000","287.53","290.77","299.78","282.36","","-1.11%"
"05/01/2000","290.77","284.15","298.03","278.29","","2.33%"
"04/01/2000","284.15","291.95","295.68","261.35","","-2.67%"
"03/01/2000","291.95","267.30","307.12","267.30","","9.22%"
"02/01/2000","267.30","250.82","282.70","250.82","","6.57%"
"01/01/2000","250.82","255.69","266.14","244.24","","-1.90%"
"12/01/1999","255.69","242.41","259.61","240.70","","5.48%"
"11/01/1999","242.41","222.91","248.12","222.22","","8.75%"
"10/01/1999","222.91","216.00","223.54","211.61","","3.20%"
"09/01/1999","216.00","212.66","221.41","212.66","","1.57%"
"08/01/1999","212.66","211.22","218.47","200.55","","0.68%"
"07/01/1999","211.22","205.43","218.94","205.39","","2.82%"
"06/01/1999","205.43","202.26","209.53","198.91","","1.57%"
"05/01/1999","202.26","208.51","213.33","198.64","","-3.00%"
"04/01/1999","208.51","198.56","211.78","197.89","","5.01%"
"03/01/1999","198.56","208.18","208.53","187.47","","-4.62%"
"02/01/1999","208.18","218.90","219.98","204.91","","-4.90%"
"01/01/1999","218.90","219.34","228.44","214.33","","-0.20%"
"12/01/1998","219.34","202.91","222.23","196.95","","8.10%"
"11/01/1998","202.91","203.84","210.09","199.83","","-0.47%"
"10/01/1998","203.86","193.63","204.96","181.38","","5.28%"
"09/01/1998","193.63","213.77","223.56","182.36","","-9.42%"
"08/01/1998","213.77","237.86","239.23","209.88","","-10.13%"
"07/01/1998","237.86","235.69","256.36","234.15","","0.92%"
"06/01/1998","235.69","233.83","242.63","230.40","","0.75%"
"05/01/1998","233.93","231.49","242.28","225.96","","1.05%"
"04/01/1998","231.49","244.86","250.71","225.72","","-5.46%"
"03/01/1998","244.86","216.49","245.34","214.74","","13.10%"
"02/01/1998","216.49","215.81","221.39","214.72","","0.32%"
"01/01/1998","215.81","210.55","226.52","205.86","","2.50%"
"12/01/1997","210.55","191.85","213.82","191.77","","9.75%"
"11/01/1997","191.85","183.18","192.70","180.05","","5.05%"
"10/01/1997","182.62","191.70","196.36","170.15","","-4.74%"
"09/01/1997","191.70","176.95","193.37","173.85","","8.34%"
"08/01/1997","176.95","189.18","189.99","176.05","","-6.46%"
"07/01/1997","189.18","171.71","195.61","171.71","","10.17%"
"06/01/1997","171.71","163.77","173.39","163.16","","4.85%"
"05/01/1997","163.77","154.77","168.27","154.77","","5.82%"
"04/01/1997","154.77","154.58","156.89","148.26","","0.12%"
"03/01/1997","154.58","152.97","161.50","152.54","","1.05%"
"02/01/1997","152.97","147.88","160.12","147.88","","3.44%"
"01/01/1997","147.88","136.13","147.88","134.12","","8.63%"
"12/01/1996","136.13","130.90","136.13","128.06","","4.00%"
"11/01/1996","130.90","125.94","131.59","124.84","","3.94%"
"10/01/1996","125.94","123.47","129.47","123.43","","2.00%"
"09/01/1996","123.47","119.51","123.52","119.37","","3.31%"
"08/01/1996","119.51","114.54","120.71","114.54","","4.34%"
"07/01/1996","114.54","116.35","118.39","113.62","","-1.56%"
"06/01/1996","116.35","113.97","116.35","112.95","","2.09%"
"05/01/1996","113.97","113.82","116.36","113.08","","0.13%"
"04/01/1996","113.82","110.56","114.86","110.56","","2.95%"
"03/01/1996","110.56","112.45","113.50","108.59","","-1.68%"
"02/01/1996","112.45","112.84","113.60","108.12","","-0.35%"
"01/01/1996","112.84","106.14","113.42","106.04","","6.31%"
"12/01/1995","106.14","104.03","106.71","103.26","","2.03%"
"11/01/1995","104.03","100.92","104.03","100.48","","3.08%"
"10/01/1995","100.92","101.27","102.65","99.41","","-0.35%"
"09/01/1995","101.27","102.58","105.39","100.38","","-1.28%"
"08/01/1995","102.58","102.56","105.03","101.95","","0.02%"
"07/01/1995","102.56","95.84","103.10","95.70","","7.01%"
"06/01/1995","95.84","99.17","99.40","95.76","","-3.36%"
"05/01/1995","99.17","94.08","100.30","94.08","","5.41%"
"04/01/1995","94.08","89.51","94.47","89.22","","5.11%"
"03/01/1995","89.51","95.55","96.00","88.12","","-6.32%"
"02/01/1995","95.55","95.10","96.61","93.42","","0.47%"
"01/01/1995","95.10","95.64","97.54","90.55","","-0.56%"
"12/01/1994","95.64","94.69","96.05","91.31","","1.00%"
"11/01/1994","94.69","94.67","96.70","91.51","","0.02%"
"10/01/1994","94.67","95.27","96.55","90.96","","-0.63%"
"09/01/1994","95.27","96.68","98.10","94.53","","-1.46%"
"08/01/1994","96.68","107.20","107.93","96.38","","-9.81%"
"07/01/1994","107.20","102.74","108.36","100.63","","4.34%"
"06/01/1994","102.74","100.95","105.27","99.06","","1.77%"
"05/01/1994","100.95","109.86","109.86","99.17","","-8.11%"
"04/01/1994","109.86","109.58","109.88","104.04","","0.26%"
"03/01/1994","109.58","113.31","113.88","107.56","","-3.29%"
"02/01/1994","113.31","115.93","118.30","112.10","","-2.26%"
"01/01/1994","115.93","106.80","116.18","106.72","","8.55%"
"12/01/1993","106.80","100.48","108.25","99.57","","6.29%"
"11/01/1993","100.48","103.65","104.51","99.34","","-3.06%"
"10/01/1993","103.65","97.50","103.84","96.90","","6.31%"
"09/01/1993","97.50","97.88","99.66","95.75","","-0.39%"
"08/01/1993","97.88","91.87","100.80","91.87","","6.54%"
"07/01/1993","91.87","91.49","92.65","88.58","","0.42%"
"06/01/1993","91.49","85.00","91.60","83.12","","7.64%"
"05/01/1993","85.00","83.68","88.48","83.68","","1.58%"
"04/01/1993","83.68","80.93","85.65","80.37","","3.40%"
"03/01/1993","80.93","82.17","86.24","78.29","","-1.51%"
"02/01/1993","82.17","84.22","87.91","79.64","","-2.43%"
"01/01/1993","84.22","74.78","84.31","72.18","","12.62%"
"12/01/1992","74.78","74.75","81.24","73.31","","0.04%"
"11/01/1992","74.75","71.72","80.76","69.73","","4.22%"
"10/01/1992","71.72","73.61","75.26","70.22","","-2.57%"
"09/01/1992","73.61","76.74","77.52","72.28","","-4.08%"
"08/01/1992","76.74","86.37","86.37","75.74","","-11.15%"
"07/01/1992","86.37","90.47","90.53","85.25","","-4.53%"
"06/01/1992","90.47","100.62","101.13","88.05","","-10.09%"
"05/01/1992","100.62","93.61","101.05","93.61","","7.49%"
"04/01/1992","93.61","93.08","96.39","91.61","","0.57%"
"03/01/1992","93.08","99.33","99.34","93.03","","-6.29%"
"02/01/1992","99.33","104.66","104.92","98.84","","-5.09%"
"01/01/1992","104.66","100.97","106.42","100.97","","3.65%"
"12/01/1991","100.97","101.94","101.94","99.80","","-0.95%"
"11/01/1991","101.94","105.59","107.56","101.51","","-3.46%"
"10/01/1991","105.59","104.60","106.27","102.11","","0.95%"
"09/01/1991","104.60","107.89","107.92","103.33","","-3.05%"
"08/01/1991","107.89","109.88","110.99","102.71","","-1.81%"
"07/01/1991","109.88","106.59","111.27","104.53","","3.09%"
"06/01/1991","106.59","103.40","107.61","102.20","","3.09%"
"05/01/1991","103.40","100.15","104.05","97.90","","3.25%"
"04/01/1991","100.15","101.40","103.65","98.55","","-1.23%"
"03/01/1991","101.40","101.20","104.05","100.17","","0.20%"
"02/01/1991","101.20","90.58","102.42","90.58","","11.72%"
"01/01/1991","90.58","89.71","92.52","89.23","","2.47%"
"12/01/1990","88.40","88.40","88.40","88.40","","-5.06%"
"11/01/1990","93.11","93.11","93.11","93.11","","-5.63%"
"10/01/1990","98.66","98.66","98.66","98.66","","6.30%"
"09/01/1990","92.81","92.81","92.81","92.81","","-9.79%"
"08/01/1990","102.88","102.88","102.88","102.88","","-7.64%"
"07/01/1990","111.39","111.39","111.39","111.39","","3.03%"
"06/01/1990","108.11","108.11","108.11","108.11","","-0.95%"
"05/01/1990","109.15","109.15","109.15","109.15","","7.19%"
"04/01/1990","101.83","101.83","101.83","101.83","","-8.54%"
"03/01/1990","111.34","111.34","111.34","111.34","","5.10%"
"02/01/1990","105.94","105.94","105.94","105.94","","-0.54%"
"01/01/1990","106.51","106.51","106.51","106.51","","1.68%"
