"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","1,911.74","1,847.91","1,928.59","1,826.14","14.35M","4.21%"
"01/01/2023","1,834.53","1,842.37","1,901.34","1,806.33","261.23M","-0.04%"
"12/01/2022","1,835.28","1,797.98","1,862.04","1,787.18","213.44M","2.83%"
"11/01/2022","1,784.80","1,670.67","1,793.38","1,642.34","294.61M","7.38%"
"10/01/2022","1,662.17","1,519.65","1,665.34","1,503.99","264.98M","8.88%"
"09/01/2022","1,526.61","1,672.49","1,724.90","1,499.87","257.42M","-9.72%"
"08/01/2022","1,690.99","1,810.09","1,819.40","1,679.80","265.35M","-6.82%"
"07/01/2022","1,814.72","1,630.82","1,821.56","1,623.74","230.84M","10.87%"
"06/01/2022","1,636.80","1,688.62","1,737.59","1,557.88","246.34M","-3.27%"
"05/01/2022","1,692.09","1,777.92","1,791.86","1,575.88","306.19M","-5.28%"
"04/01/2022","1,786.45","1,766.99","1,833.21","1,710.09","240.40M","1.80%"
"03/01/2022","1,754.80","1,690.36","1,776.55","1,615.84","343.44M","3.81%"
"02/01/2022","1,690.38","1,688.49","1,740.90","1,518.31","281.66M","0.86%"
"01/01/2022","1,675.91","1,871.41","1,876.95","1,585.84","271.13M","-10.09%"
"12/01/2021","1,863.99","1,785.45","1,871.77","1,689.37","238.74M","4.49%"
"11/01/2021","1,783.92","1,852.61","1,911.45","1,748.71","308.11M","-3.35%"
"10/01/2021","1,845.67","1,710.95","1,860.19","1,670.02","247.43M","6.84%"
"09/01/2021","1,727.57","1,813.30","1,837.58","1,718.76","237.15M","-4.00%"
"08/01/2021","1,799.64","1,740.00","1,866.27","1,724.47","251.29M","3.73%"
"07/01/2021","1,735.00","1,666.21","1,742.40","1,659.77","257.43M","4.88%"
"06/01/2021","1,654.35","1,581.59","1,670.35","1,556.92","265.68M","4.88%"
"05/01/2021","1,577.40","1,552.99","1,601.87","1,507.32","289.02M","2.25%"
"04/01/2021","1,542.63","1,476.76","1,581.52","1,460.65","230.53M","4.81%"
"03/01/2021","1,471.77","1,436.83","1,486.34","1,362.94","300.06M","3.54%"
"02/01/2021","1,421.46","1,431.32","1,517.76","1,412.07","231.58M","0.14%"
"01/01/2021","1,419.46","1,475.58","1,498.60","1,388.83","272.91M","-3.12%"
"12/01/2020","1,465.17","1,404.74","1,484.45","1,367.84","243.57M","4.30%"
"11/01/2020","1,404.78","1,332.77","1,450.16","1,317.95","345.71M","6.11%"
"10/01/2020","1,323.91","1,365.16","1,444.52","1,312.52","258.77M","-2.67%"
"09/01/2020","1,360.25","1,322.86","1,371.06","1,277.77","255.24M","2.95%"
"08/01/2020","1,321.23","1,280.77","1,337.45","1,279.03","243.02M","2.64%"
"07/01/2020","1,287.22","1,247.56","1,349.73","1,241.24","255.71M","3.58%"
"06/01/2020","1,242.72","1,244.29","1,280.30","1,194.89","341.85M","0.71%"
"05/01/2020","1,233.94","1,151.96","1,247.30","1,142.07","376.25M","5.72%"
"04/01/2020","1,167.16","1,059.81","1,186.76","1,046.00","362.23M","8.70%"
"03/01/2020","1,073.74","1,148.38","1,204.47","900.29","596.76M","-4.48%"
"02/01/2020","1,124.07","1,172.79","1,276.39","1,112.24","306.09M","-4.31%"
"01/01/2020","1,174.76","1,135.96","1,199.81","1,107.96","247.34M","3.43%"
"12/01/2019","1,135.79","1,108.67","1,148.45","1,101.72","197.46M","2.48%"
"11/01/2019","1,108.34","1,050.97","1,117.21","1,049.27","299.57M","5.49%"
"10/01/2019","1,050.61","1,035.13","1,062.88","991.18","273.76M","1.54%"
"09/01/2019","1,034.66","1,032.28","1,060.63","1,004.12","281.97M","0.25%"
"08/01/2019","1,032.13","999.32","1,043.04","974.27","305.76M","3.27%"
"07/01/2019","999.45","1,002.57","1,042.40","987.10","235.96M","-0.31%"
"06/01/2019","1,002.51","970.80","1,028.56","955.96","282.01M","3.22%"
"05/01/2019","971.19","1,016.56","1,019.93","966.31","290.00M","-4.22%"
"04/01/2019","1,013.97","1,017.87","1,034.60","999.69","227.58M","-0.32%"
"03/01/2019","1,017.19","981.17","1,024.01","979.33","230.86M","3.73%"
"02/01/2019","980.63","933.58","986.61","932.58","261.02M","6.23%"
"01/01/2019","923.13","891.23","948.56","885.98","270.99M","3.54%"
"12/01/2018","891.56","931.32","945.80","878.70","225.53M","-3.95%"
"11/01/2018","928.23","902.86","945.14","890.82","324.61M","2.86%"
"10/01/2018","902.39","978.94","985.14","860.86","339.35M","-7.81%"
"09/01/2018","978.86","1,021.45","1,023.17","970.84","305.24M","-4.21%"
"08/01/2018","1,021.83","1,016.97","1,032.99","984.41","259.69M","0.50%"
"07/01/2018","1,016.77","961.20","1,034.70","952.87","213.90M","5.72%"
"06/01/2018","961.77","978.20","1,000.02","946.48","252.53M","-1.67%"
"05/01/2018","978.09","971.22","1,023.79","962.87","298.64M","0.71%"
"04/01/2018","971.17","976.73","984.35","955.65","276.78M","-0.55%"
"03/01/2018","976.57","1,011.16","1,011.16","959.22","321.61M","-3.48%"
"02/01/2018","1,011.81","1,018.26","1,030.55","932.29","536.35M","-0.59%"
"01/01/2018","1,017.79","1,024.29","1,056.09","1,017.68","328.47M","-0.63%"
"12/01/2017","1,024.22","1,005.61","1,033.90","985.60","260.21M","1.84%"
"11/01/2017","1,005.76","1,050.46","1,061.81","980.97","371.99M","-4.26%"
"10/01/2017","1,050.46","1,024.14","1,055.35","1,023.25","325.04M","2.57%"
"09/01/2017","1,024.14","1,021.59","1,033.76","1,005.04","267.50M","0.25%"
