,Date,Price,Open,High,Low,Vol.,Change %
46,03/01/2019,689.00,664.00,730.00,645.00,,4.71%
47,02/01/2019,658.00,645.00,658.00,595.00,,-1.50%
48,01/01/2019,668.00,"1,282.00","1,282.00",668.00,,-47.44%
49,12/01/2018,"1,271.00","1,203.00","1,406.00","1,203.00",,3.25%
50,11/01/2018,"1,231.00","1,470.00","1,470.00","1,003.00",,-17.38%
51,10/01/2018,"1,490.00","1,555.00","1,584.00","1,490.00",,-3.25%
52,09/01/2018,"1,540.00","1,557.00","1,557.00","1,356.00",,-2.47%
53,08/01/2018,"1,579.00","1,760.00","1,773.00","1,579.00",,-9.62%
54,07/01/2018,"1,747.00","1,422.00","1,774.00","1,422.00",,26.14%
55,06/01/2018,"1,385.00","1,156.00","1,445.00","1,156.00",,27.06%
56,05/01/2018,"1,090.00","1,327.00","1,476.00","1,042.00",,-18.72%
57,04/01/2018,"1,341.00","1,016.00","1,376.00",948.00,,27.11%
58,03/01/2018,"1,055.00","1,196.00","1,212.00","1,055.00",,-11.49%
59,02/01/2018,"1,192.00","1,114.00","1,192.00","1,082.00",,3.47%
60,01/01/2018,"1,152.00","1,230.00","1,395.00","1,125.00",,-15.67%
61,12/01/2017,"1,366.00","1,626.00","1,743.00","1,366.00",,-13.43%
62,11/01/2017,"1,578.00","1,496.00","1,578.00","1,361.00",,3.68%
63,10/01/2017,"1,522.00","1,328.00","1,588.00","1,308.00",,12.24%
64,09/01/2017,"1,356.00","1,183.00","1,503.00","1,183.00",,14.53%
65,08/01/2017,"1,184.00",965.00,"1,266.00",965.00,,25.16%
66,07/01/2017,946.00,882.00,980.00,820.00,,4.99%
67,06/01/2017,901.00,850.00,929.00,818.00,,2.62%
68,05/01/2017,878.00,"1,073.00","1,073.00",878.00,,-20.83%
69,04/01/2017,"1,109.00","1,282.00","1,296.00","1,109.00",,-14.49%
70,03/01/2017,"1,297.00",871.00,"1,338.00",871.00,,50.99%
71,02/01/2017,859.00,786.00,878.00,685.00,,7.38%
72,01/01/2017,800.00,953.00,983.00,800.00,,-16.75%
73,12/01/2016,961.00,"1,196.00","1,198.00",914.00,,-20.18%
74,11/01/2016,"1,204.00",838.00,"1,257.00",834.00,,40.49%
75,10/01/2016,857.00,864.00,922.00,798.00,,-2.06%
76,09/01/2016,875.00,712.00,941.00,712.00,,23.07%
77,08/01/2016,711.00,650.00,720.00,631.00,,8.38%
78,07/01/2016,656.00,677.00,748.00,656.00,,-0.61%
79,06/01/2016,660.00,612.00,660.00,580.00,,7.84%
80,05/01/2016,612.00,682.00,682.00,579.00,,-12.94%
81,04/01/2016,703.00,450.00,715.00,450.00,,63.87%
82,03/01/2016,429.00,332.00,429.00,332.00,,30.40%
83,02/01/2016,329.00,314.00,329.00,290.00,,3.79%
84,01/01/2016,317.00,473.00,473.00,317.00,,-33.68%
85,12/01/2015,478.00,598.00,598.00,471.00,,-18.15%
86,11/01/2015,584.00,706.00,706.00,498.00,,-19.00%
87,10/01/2015,721.00,888.00,889.00,721.00,,-19.89%
88,09/01/2015,900.00,911.00,978.00,802.00,,-0.33%
89,08/01/2015,903.00,"1,151.00","1,222.00",903.00,,-20.16%
90,07/01/2015,"1,131.00",794.00,"1,131.00",794.00,,41.38%
91,06/01/2015,800.00,589.00,829.00,589.00,,35.82%
92,05/01/2015,589.00,587.00,637.00,573.00,,-0.34%
93,04/01/2015,591.00,596.00,601.00,578.00,,-1.83%
94,03/01/2015,602.00,548.00,602.00,548.00,,11.48%
95,02/01/2015,540.00,590.00,590.00,509.00,,-11.18%
96,01/01/2015,608.00,771.00,771.00,608.00,,-22.25%
97,12/01/2014,782.00,"1,137.00","1,137.00",782.00,,-32.18%
98,11/01/2014,"1,153.00","1,456.00","1,484.00","1,153.00",,-19.26%
99,10/01/2014,"1,428.00","1,055.00","1,428.00",930.00,,34.34%
100,09/01/2014,"1,063.00","1,151.00","1,197.00","1,038.00",,-7.32%
101,08/01/2014,"1,147.00",751.00,"1,147.00",751.00,,51.92%
102,07/01/2014,755.00,894.00,894.00,723.00,,-11.18%
103,06/01/2014,850.00,934.00,"1,004.00",824.00,,-8.99%
104,05/01/2014,934.00,943.00,"1,027.00",934.00,,-0.95%
105,04/01/2014,943.00,"1,316.00","1,316.00",930.00,,-30.76%
106,03/01/2014,"1,362.00","1,276.00","1,621.00","1,276.00",,8.27%
107,02/01/2014,"1,258.00","1,093.00","1,258.00","1,084.00",,13.33%
108,01/01/2014,"1,110.00","2,113.00","2,113.00","1,110.00",,-51.25%
109,12/01/2013,"2,277.00","1,865.00","2,337.00","1,865.00",,25.04%
110,11/01/2013,"1,821.00","1,525.00","1,821.00","1,483.00",,21.08%
111,10/01/2013,"1,504.00","1,994.00","2,146.00","1,484.00",,-24.91%
112,09/01/2013,"2,003.00","1,139.00","2,127.00","1,139.00",,76.94%
113,08/01/2013,"1,132.00","1,066.00","1,169.00",996.00,,6.59%
114,07/01/2013,"1,062.00","1,179.00","1,179.00","1,062.00",,-9.31%
115,06/01/2013,"1,171.00",806.00,"1,171.00",801.00,,44.75%
116,05/01/2013,809.00,862.00,892.00,809.00,,-6.26%
117,04/01/2013,863.00,896.00,896.00,856.00,,-5.16%
118,03/01/2013,910.00,776.00,935.00,776.00,,20.21%
119,02/01/2013,757.00,750.00,757.00,735.00,,-0.39%
120,01/01/2013,760.00,698.00,838.00,698.00,,8.73%
121,12/01/2012,699.00,"1,077.00","1,077.00",699.00,,-35.64%
122,11/01/2012,"1,086.00","1,000.00","1,104.00",916.00,,5.85%
123,10/01/2012,"1,026.00",777.00,"1,109.00",777.00,,33.94%
124,09/01/2012,766.00,698.00,774.00,661.00,,8.96%
125,08/01/2012,703.00,878.00,878.00,703.00,,-21.63%
126,07/01/2012,897.00,"1,013.00","1,162.00",897.00,,-10.66%
127,06/01/2012,"1,004.00",904.00,"1,004.00",872.00,,8.78%
128,05/01/2012,923.00,"1,152.00","1,165.00",923.00,,-20.09%
129,04/01/2012,"1,155.00",934.00,"1,156.00",926.00,,23.66%
130,03/01/2012,934.00,763.00,934.00,763.00,,24.53%
131,02/01/2012,750.00,662.00,750.00,647.00,,10.29%
132,01/01/2012,680.00,"1,624.00","1,624.00",680.00,,-60.87%
133,12/01/2011,"1,738.00","1,862.00","1,930.00","1,738.00",,-5.85%
134,11/01/2011,"1,846.00","1,912.00","1,912.00","1,759.00",,-6.06%
135,10/01/2011,"1,965.00","1,886.00","2,173.00","1,885.00",,3.48%
136,09/01/2011,"1,899.00","1,682.00","1,928.00","1,682.00",,17.29%
137,08/01/2011,"1,619.00","1,256.00","1,619.00","1,253.00",,28.09%
138,07/01/2011,"1,264.00","1,422.00","1,453.00","1,264.00",,-10.54%
139,06/01/2011,"1,413.00","1,485.00","1,489.00","1,400.00",,-4.53%
140,05/01/2011,"1,480.00","1,292.00","1,480.00","1,271.00",,16.63%
141,04/01/2011,"1,269.00","1,520.00","1,520.00","1,250.00",,-17.06%
142,03/01/2011,"1,530.00","1,262.00","1,585.00","1,262.00",,22.30%
143,02/01/2011,"1,251.00","1,084.00","1,301.00","1,043.00",,13.01%
144,01/01/2011,"1,107.00","1,693.00","1,693.00","1,107.00",,-37.56%
145,12/01/2010,"1,773.00","2,096.00","2,179.00","1,773.00",,-15.53%
146,11/01/2010,"2,099.00","2,648.00","2,648.00","2,099.00",,-21.62%
147,10/01/2010,"2,678.00","2,452.00","2,784.00","2,452.00",,9.48%
148,09/01/2010,"2,446.00","2,741.00","2,995.00","2,444.00",,-9.84%
149,08/01/2010,"2,713.00","1,977.00","2,861.00","1,957.00",,37.93%
150,07/01/2010,"1,967.00","2,351.00","2,351.00","1,700.00",,-18.25%
151,06/01/2010,"2,406.00","4,074.00","4,074.00","2,406.00",,-41.00%
152,05/01/2010,"4,078.00","3,352.00","4,209.00","3,352.00",,21.59%
153,04/01/2010,"3,354.00","2,991.00","3,359.00","2,911.00",,11.87%
154,03/01/2010,"2,998.00","2,760.00","3,574.00","2,760.00",,9.50%
155,02/01/2010,"2,738.00","2,745.00","2,745.00","2,566.00",,-3.86%
156,01/01/2010,"2,848.00","3,140.00","3,299.00","2,848.00",,-5.22%
157,12/01/2009,"3,005.00","3,836.00","4,107.00","3,005.00",,-22.69%
158,11/01/2009,"3,887.00","3,185.00","4,661.00","3,185.00",,25.27%
159,10/01/2009,"3,103.00","2,284.00","3,103.00","2,284.00",,39.77%
160,09/01/2009,"2,220.00","2,423.00","2,492.00","2,163.00",,-8.30%
161,08/01/2009,"2,421.00","3,251.00","3,251.00","2,388.00",,-27.73%
162,07/01/2009,"3,350.00","3,742.00","3,742.00","2,975.00",,-10.83%
163,06/01/2009,"3,757.00","3,681.00","4,291.00","3,452.00",,7.53%
164,05/01/2009,"3,494.00","1,806.00","3,494.00","1,806.00",,95.63%
165,04/01/2009,"1,786.00","1,574.00","1,897.00","1,463.00",,10.59%
166,03/01/2009,"1,615.00","2,014.00","2,298.00","1,615.00",,-18.68%
167,02/01/2009,"1,986.00","1,099.00","2,099.00","1,099.00",,85.61%
168,01/01/2009,"1,070.00",773.00,"1,070.00",772.00,,38.24%
169,12/01/2008,774.00,700.00,836.00,663.00,,8.25%
170,11/01/2008,715.00,827.00,865.00,715.00,,-15.98%
171,10/01/2008,851.00,"3,025.00","3,025.00",851.00,,-73.55%
172,09/01/2008,"3,217.00","6,691.00","6,691.00","3,217.00",,-52.75%
173,08/01/2008,"6,809.00","8,280.00","8,280.00","6,809.00",,-18.37%
174,07/01/2008,"8,341.00","9,379.00","9,379.00","8,341.00",,-13.01%
175,06/01/2008,"9,589.00","11,458.00","11,689.00","9,139.00",,-16.18%
176,05/01/2008,"11,440.00","9,439.00","11,793.00","9,439.00",,22.27%
177,04/01/2008,"9,356.00","7,890.00","9,356.00","7,655.00",,15.78%
178,03/01/2008,"8,081.00","7,878.00","8,624.00","7,619.00",,6.15%
179,02/01/2008,"7,613.00","6,134.00","7,613.00","6,002.00",,25.79%
180,01/01/2008,"6,052.00","8,891.00","8,891.00","5,615.00",,-33.81%
181,12/01/2007,"9,143.00","10,270.00","10,285.00","9,143.00",,-10.45%
182,11/01/2007,"10,210.00","10,581.00","11,039.00","9,897.00",,-4.19%
183,10/01/2007,"10,656.00","9,537.00","11,033.00","9,513.00",,12.48%
184,09/01/2007,"9,474.00","7,783.00","9,474.00","7,783.00",,23.01%
185,08/01/2007,"7,702.00","6,993.00","7,702.00","6,917.00",,10.55%
186,07/01/2007,"6,967.00","6,304.00","6,967.00","6,201.00",,10.97%
187,06/01/2007,"6,278.00","5,983.00","6,278.00","5,254.00",,5.14%
188,05/01/2007,"5,971.00","6,255.00","6,688.00","5,971.00",,-4.43%
189,04/01/2007,"6,248.00","5,417.00","6,248.00","5,417.00",,15.96%
190,03/01/2007,"5,388.00","4,818.00","5,388.00","4,818.00",,13.07%
191,02/01/2007,"4,765.00","4,219.00","4,765.00","4,219.00",,12.78%
192,01/01/2007,"4,225.00","4,421.00","4,647.00","4,225.00",,-3.91%
193,12/01/2006,"4,397.00","4,369.00","4,407.00","4,270.00",,1.41%
194,11/01/2006,"4,336.00","4,100.00","4,336.00","4,100.00",,7.41%
195,10/01/2006,"4,037.00","3,956.00","4,182.00","3,931.00",,2.36%
196,09/01/2006,"3,944.00","3,875.00","4,279.00","3,875.00",,2.52%
197,08/01/2006,"3,847.00","3,337.00","3,847.00","3,337.00",,17.11%
198,07/01/2006,"3,285.00","2,983.00","3,285.00","2,849.00",,10.83%
199,06/01/2006,"2,964.00","2,478.00","2,964.00","2,478.00",,21.67%
200,05/01/2006,"2,436.00","2,364.00","2,502.00","2,364.00",,2.87%
201,04/01/2006,"2,368.00","2,508.00","2,516.00","2,368.00",,-5.13%
202,03/01/2006,"2,496.00","2,708.00","2,708.00","2,493.00",,-6.87%
203,02/01/2006,"2,680.00","2,087.00","2,798.00","2,087.00",,28.78%
204,01/01/2006,"2,081.00","2,438.00","2,497.00","2,033.00",,-13.54%
205,12/01/2005,"2,407.00","2,772.00","2,772.00","2,407.00",,-13.10%
206,11/01/2005,"2,770.00","3,081.00","3,081.00","2,739.00",,-11.02%
207,10/01/2005,"3,113.00","2,944.00","3,370.00","2,944.00",,7.09%
208,09/01/2005,"2,907.00","2,548.00","3,073.00","2,418.00",,12.15%
209,08/01/2005,"2,592.00","1,769.00","2,634.00","1,747.00",,43.68%
210,07/01/2005,"1,804.00","2,486.00","2,486.00","1,804.00",,-28.44%
211,06/01/2005,"2,521.00","3,180.00","3,180.00","2,510.00",,-21.68%
212,05/01/2005,"3,219.00","3,815.00","4,024.00","3,219.00",,-16.39%
213,04/01/2005,"3,850.00","4,627.00","4,835.00","3,850.00",,-16.97%
214,03/01/2005,"4,637.00","4,663.00","4,791.00","4,575.00",,-1.88%
215,02/01/2005,"4,726.00","4,470.00","4,880.00","4,175.00",,5.30%
216,01/01/2005,"4,488.00","4,456.00","4,776.00","4,292.00",,-2.39%
217,12/01/2004,"4,598.00","6,092.00","6,208.00","4,598.00",,-24.01%
218,11/01/2004,"6,051.00","4,928.00","6,051.00","4,928.00",,22.94%
219,10/01/2004,"4,922.00","4,112.00","4,922.00","4,112.00",,19.90%
220,09/01/2004,"4,105.00","4,134.00","4,233.00","4,014.00",,-1.94%
221,08/01/2004,"4,186.00","4,100.00","4,233.00","4,088.00",,3.41%
222,07/01/2004,"4,048.00","3,115.00","4,086.00","3,115.00",,34.71%
223,06/01/2004,"3,005.00","3,282.00","3,282.00","2,622.00",,-8.55%
224,05/01/2004,"3,286.00","3,933.00","3,933.00","3,286.00",,-17.48%
225,04/01/2004,"3,982.00","4,763.00","4,763.00","3,982.00",,-17.42%
226,03/01/2004,"4,822.00","5,205.00","5,384.00","4,822.00",,-8.38%
227,02/01/2004,"5,263.00","5,618.00","5,681.00","5,242.00",,-5.19%
228,01/01/2004,"5,551.00","4,761.00","5,551.00","4,757.00",,16.50%
229,12/01/2003,"4,765.00","4,442.00","4,765.00","4,442.00",,7.88%
230,11/01/2003,"4,417.00","4,558.00","4,558.00","4,026.00",,-3.03%
231,10/01/2003,"4,555.00","3,138.00","4,560.00","3,138.00",,52.19%
232,09/01/2003,"2,993.00","2,262.00","2,993.00","2,262.00",,32.14%
233,08/01/2003,"2,265.00","2,176.00","2,343.00","2,176.00",,3.85%
234,07/01/2003,"2,181.00","2,123.00","2,240.00","2,123.00",,2.64%
235,06/01/2003,"2,125.00","2,116.00","2,154.00","2,116.00",,-0.09%
236,05/01/2003,"2,127.00","2,145.00","2,337.00","2,127.00",,-0.70%
237,04/01/2003,"2,142.00","1,943.00","2,142.00","1,943.00",,10.47%
238,03/01/2003,"1,939.00","1,762.00","1,940.00","1,748.00",,9.92%
239,02/01/2003,"1,764.00","1,530.00","1,768.00","1,530.00",,15.29%
240,01/01/2003,"1,530.00","1,738.00","1,761.00","1,530.00",,-11.97%
241,12/01/2002,"1,738.00","1,573.00","1,739.00","1,573.00",,11.41%
242,11/01/2002,"1,560.00","1,428.00","1,560.00","1,428.00",,10.09%
243,10/01/2002,"1,417.00","1,371.00","1,417.00","1,334.00",,3.66%
244,09/01/2002,"1,367.00","1,039.00","1,367.00","1,039.00",,31.95%
245,08/01/2002,"1,036.00",970.00,"1,036.00",970.00,,7.02%
246,07/01/2002,968.00,"1,005.00","1,007.00",962.00,,-3.68%
247,06/01/2002,"1,005.00","1,027.00","1,027.00",978.00,,-3.55%
248,05/01/2002,"1,042.00","1,020.00","1,046.00","1,016.00",,1.46%
249,04/01/2002,"1,027.00","1,081.00","1,104.00","1,027.00",,-5.08%
250,03/01/2002,"1,082.00","1,033.00","1,086.00","1,033.00",,4.95%
251,02/01/2002,"1,031.00",908.00,"1,031.00",908.00,,13.55%
252,01/01/2002,908.00,882.00,969.00,882.00,,3.65%
253,12/01/2001,876.00,868.00,876.00,865.00,,0.92%
254,11/01/2001,868.00,853.00,868.00,843.00,,0.81%
255,10/01/2001,861.00,939.00,939.00,861.00,,-9.56%
256,09/01/2001,952.00,918.00,995.00,898.00,,2.70%
257,08/01/2001,927.00,"1,037.00","1,037.00",927.00,,-11.63%
258,07/01/2001,"1,049.00","1,380.00","1,380.00","1,049.00",,-24.31%
259,06/01/2001,"1,386.00","1,382.00","1,394.00","1,355.00",,-0.22%
260,05/01/2001,"1,389.00","1,453.00","1,481.00","1,389.00",,-4.80%
261,04/01/2001,"1,459.00","1,430.00","1,463.00","1,423.00",,1.46%
262,03/01/2001,"1,438.00","1,538.00","1,538.00","1,438.00",,-6.44%
263,02/01/2001,"1,537.00","1,493.00","1,537.00","1,445.00",,2.19%
264,01/01/2001,"1,504.00","1,599.00","1,599.00","1,504.00",,-5.94%
265,12/01/2000,"1,599.00","1,664.00","1,664.00","1,581.00",,-4.37%
266,11/01/2000,"1,672.00","1,759.00","1,762.00","1,672.00",,-4.95%
267,10/01/2000,"1,759.00","1,735.00","1,759.00","1,718.00",,1.15%
268,09/01/2000,"1,739.00","1,661.00","1,740.00","1,661.00",,5.27%
269,08/01/2000,"1,652.00","1,645.00","1,652.00","1,627.00",,0.61%
270,07/01/2000,"1,642.00","1,613.00","1,642.00","1,600.00",,1.61%
271,06/01/2000,"1,616.00","1,562.00","1,626.00","1,559.00",,3.19%
272,05/01/2000,"1,566.00","1,622.00","1,622.00","1,566.00",,-3.81%
273,04/01/2000,"1,628.00","1,669.00","1,686.00","1,628.00",,-1.93%
274,03/01/2000,"1,660.00","1,547.00","1,660.00","1,547.00",,8.43%
275,02/01/2000,"1,531.00","1,311.00","1,531.00","1,276.00",,16.07%
276,01/01/2000,"1,319.00","1,320.00","1,406.00","1,319.00",,0.00%
277,12/01/1999,"1,319.00","1,344.00","1,360.00","1,319.00",,-2.37%
278,11/01/1999,"1,351.00","1,334.00","1,356.00","1,296.00",,0.00%
279,10/01/1999,"1,351.00","1,257.00","1,406.00","1,257.00",,8.69%
280,09/01/1999,"1,243.00","1,039.00","1,243.00","1,038.00",,19.75%
281,08/01/1999,"1,038.00","1,013.00","1,066.00","1,013.00",,3.49%
282,07/01/1999,"1,003.00",960.00,"1,003.00",947.00,,3.40%
283,06/01/1999,970.00,975.00,"1,027.00",955.00,,-1.22%
284,05/01/1999,982.00,"1,095.00","1,125.00",982.00,,-9.99%
285,04/01/1999,"1,091.00",891.00,"1,091.00",854.00,,20.95%
286,03/01/1999,902.00,978.00,"1,001.00",902.00,,-6.43%
287,02/01/1999,964.00,816.00,964.00,794.00,,16.57%
288,01/01/1999,827.00,784.00,848.00,776.00,,4.55%
289,12/01/1998,791.00,935.00,935.00,791.00,,-15.94%
290,11/01/1998,941.00,958.00,966.00,941.00,,-1.47%
291,10/01/1998,955.00,959.00,"1,008.00",954.00,,0.95%
292,09/01/1998,946.00,817.00,946.00,817.00,,15.79%
293,08/01/1998,817.00,822.00,822.00,780.00,,-0.97%
294,07/01/1998,825.00,849.00,850.00,825.00,,-3.62%
295,06/01/1998,856.00,941.00,941.00,856.00,,-9.51%
296,05/01/1998,946.00,"1,001.00","1,004.00",946.00,,-5.78%
297,04/01/1998,"1,004.00",960.00,"1,011.00",952.00,,3.93%
298,03/01/1998,966.00,"1,088.00","1,105.00",966.00,,-10.56%
299,02/01/1998,"1,080.00","1,026.00","1,080.00",932.00,,3.95%
300,01/01/1998,"1,039.00","1,232.00","1,232.00","1,039.00",,-15.60%
301,12/01/1997,"1,231.00","1,176.00","1,289.00","1,176.00",,4.77%
302,11/01/1997,"1,175.00","1,314.00","1,314.00","1,168.00",,-10.85%
303,10/01/1997,"1,318.00","1,281.00","1,361.00","1,281.00",,3.21%
304,09/01/1997,"1,277.00","1,332.00","1,334.00","1,276.00",,-3.98%
305,08/01/1997,"1,330.00","1,279.00","1,330.00","1,279.00",,3.91%
306,07/01/1997,"1,280.00","1,325.00","1,372.00","1,280.00",,-3.03%
307,06/01/1997,"1,320.00","1,267.00","1,320.00","1,245.00",,3.61%
308,05/01/1997,"1,274.00","1,258.00","1,291.00","1,258.00",,1.19%
309,04/01/1997,"1,259.00","1,506.00","1,506.00","1,259.00",,-16.79%
310,03/01/1997,"1,513.00","1,430.00","1,526.00","1,414.00",,4.85%
311,02/01/1997,"1,443.00","1,374.00","1,468.00","1,374.00",,5.56%
312,01/01/1997,"1,367.00","1,513.00","1,513.00","1,361.00",,-9.83%
313,12/01/1996,"1,516.00","1,427.00","1,523.00","1,427.00",,6.54%
314,11/01/1996,"1,423.00","1,323.00","1,522.00","1,323.00",,8.54%
315,10/01/1996,"1,311.00","1,003.00","1,311.00","1,003.00",,31.10%
316,09/01/1996,"1,000.00","1,091.00","1,091.00",992.00,,-9.09%
317,08/01/1996,"1,100.00","1,062.00","1,119.00","1,060.00",,3.19%
318,07/01/1996,"1,066.00","1,182.00","1,182.00","1,066.00",,-10.65%
319,06/01/1996,"1,193.00","1,337.00","1,338.00","1,193.00",,-10.90%
320,05/01/1996,"1,339.00","1,456.00","1,458.00","1,339.00",,-8.16%
321,04/01/1996,"1,458.00","1,449.00","1,465.00","1,447.00",,0.69%
322,03/01/1996,"1,448.00","1,357.00","1,448.00","1,347.00",,6.16%
323,02/01/1996,"1,364.00","1,494.00","1,494.00","1,364.00",,-9.25%
324,01/01/1996,"1,503.00","1,598.00","1,598.00","1,503.00",,-6.30%
325,12/01/1995,"1,604.00","1,634.00","1,644.00","1,604.00",,-2.43%
326,11/01/1995,"1,644.00","1,539.00","1,753.00","1,538.00",,6.27%
327,10/01/1995,"1,547.00","1,897.00","1,897.00","1,547.00",,-19.43%
328,09/01/1995,"1,920.00","2,096.00","2,096.00","1,920.00",,-8.66%
329,08/01/1995,"2,102.00","2,030.00","2,122.00","2,030.00",,3.80%
330,07/01/1995,"2,025.00","1,965.00","2,025.00","1,937.00",,2.32%
331,06/01/1995,"1,979.00","2,081.00","2,081.00","1,979.00",,-5.58%
332,05/01/1995,"2,096.00","2,352.00","2,352.00","2,096.00",,-10.69%
333,04/01/1995,"2,347.00","2,197.00","2,347.00","2,196.00",,6.25%
334,03/01/1995,"2,209.00","2,044.00","2,295.00","2,044.00",,8.39%
335,02/01/1995,"2,038.00","1,966.00","2,038.00","1,957.00",,3.29%
336,01/01/1995,"1,973.00","1,964.00","2,071.00","1,961.00",,0.41%
337,12/01/1994,"1,965.00","1,940.00","2,043.00","1,940.00",,1.71%
338,11/01/1994,"1,932.00","1,863.00","1,932.00","1,830.00",,3.32%
339,10/01/1994,"1,870.00","1,669.00","1,874.00","1,669.00",,12.92%
340,09/01/1994,"1,656.00","1,435.00","1,656.00","1,435.00",,15.32%
341,08/01/1994,"1,436.00","1,443.00","1,510.00","1,436.00",,-0.28%
342,07/01/1994,"1,440.00","1,338.00","1,440.00","1,338.00",,7.95%
343,06/01/1994,"1,334.00","1,437.00","1,437.00","1,311.00",,-8.32%
344,05/01/1994,"1,455.00","1,420.00","1,505.00","1,420.00",,2.90%
345,04/01/1994,"1,414.00","1,208.00","1,414.00","1,208.00",,17.25%
346,03/01/1994,"1,206.00","1,115.00","1,207.00","1,110.00",,7.97%
347,02/01/1994,"1,117.00","1,196.00","1,457.00","1,117.00",,-6.92%
348,01/01/1994,"1,200.00","1,215.00","1,244.00","1,200.00",,-1.23%
349,12/01/1993,"1,215.00","1,249.00","1,253.00","1,215.00",,-3.03%
350,11/01/1993,"1,253.00","1,316.00","1,322.00","1,253.00",,-4.86%
351,10/01/1993,"1,317.00","1,416.00","1,416.00","1,317.00",,-6.93%
352,09/01/1993,"1,415.00","1,422.00","1,457.00","1,406.00",,-1.32%
353,08/01/1993,"1,434.00","1,337.00","1,457.00","1,330.00",,7.09%
354,07/01/1993,"1,339.00","1,458.00","1,458.00","1,339.00",,-9.10%
355,06/01/1993,"1,473.00","1,623.00","1,623.00","1,473.00",,-9.24%
356,05/01/1993,"1,623.00","1,557.00","1,642.00","1,557.00",,4.44%
357,04/01/1993,"1,554.00","1,499.00","1,554.00","1,473.00",,3.39%
358,03/01/1993,"1,503.00","1,370.00","1,503.00","1,369.00",,9.47%
359,02/01/1993,"1,373.00","1,277.00","1,375.00","1,274.00",,7.43%
360,01/01/1993,"1,278.00","1,368.00","1,368.00","1,264.00",,-6.92%
