,Column1.period,Column1.productId,Column1.productName,Column1.activityId,Column1.activityName,Column1.countryRegionId,Column1.countryRegionName,Column1.countryRegionTypeId,Column1.countryRegionTypeName,Column1.unit,Column1.unitName,Column1.dataFlagId,Column1.dataFlagDescription,Column1.value
17,2021-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75486.58804909248
18,2021-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76040.36447463467
19,2021-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,74052.05918152152
20,2021-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76106.66000748328
21,2020-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75520.32149089186
22,2020-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75011.25406425734
23,2020-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,73147.04056537512
24,2020-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,72632.73785934421
25,2020-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,72736.86330168934
26,2020-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,71623.88008681775
27,2020-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,70283.74093410169
28,2020-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,71384.93427022111
29,2020-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82583.96348068853
30,2020-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82321.12126257156
31,2020-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82120.34563999053
32,2020-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,83029.29297930661
33,2019-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,83349.58235156603
34,2019-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,83409.38049283306
35,2019-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82479.66199751926
